GKZ;Gemeinde;Lon [°];Lat [°];Gewittertage Jahr Mittel;Schweregewittertage Jahr Mittel;Gewittertage 2019;Schweregewittertage 2019;
10101;Eisenstadt;16.5249;47.8455;16.9;4.3;13;6
10201;Rust;16.6749;47.8003;17.4;4.7;14;5
10301;Breitenbrunn am Neusiedler See;16.7325;47.9464;14.5;4.1;15;3
10302;Donnerskirchen;16.6446;47.8961;15.6;4.6;12;5
10303;Großhöflein;16.4812;47.8353;17.2;4.6;15;7
10304;Hornstein;16.4430;47.8791;16.1;4.7;14;8
10305;Klingenbach;16.5406;47.7548;18.1;5.5;15;4
10306;Leithaprodersdorf;16.4794;47.9353;16.4;4.6;13;6
10307;Mörbisch am See;16.6659;47.7533;17.2;5.2;11;4
10308;Müllendorf;16.4571;47.8397;17.1;4.9;14;8
10309;Neufeld an der Leitha;16.3764;47.8678;16.9;5.1;16;8
10310;Oggau am Neusiedler See;16.6671;47.8333;17.4;4.6;14;5
10311;Oslip;16.6231;47.8312;16.6;5.1;12;5
10312;Purbach am Neusiedler See;16.6976;47.9136;15.5;4.6;12;5
10313;Sankt Margarethen im Burgenland;16.6085;47.8039;17.1;4.6;15;5
10314;Schützen am Gebirge;16.6256;47.8510;15.6;4.6;10;5
10315;Siegendorf;16.5414;47.7803;17.1;5.0;13;4
10316;Steinbrunn;16.4146;47.8358;17.4;5.2;16;8
10317;Trausdorf an der Wulka;16.5580;47.8140;16.6;4.8;12;6
10318;Wimpassing an der Leitha;16.4295;47.9163;15.9;4.7;16;7
10319;Wulkaprodersdorf;16.4985;47.7949;17.5;5.0;14;6
10320;Loretto;16.5180;47.9155;15.9;4.5;14;6
10321;Stotzing;16.5465;47.9069;15.8;4.5;13;5
10322;Zillingtal;16.4085;47.8148;17.4;5.4;16;9
10323;Zagersdorf;16.5136;47.7646;18.1;5.4;16;6
10401;Bocksdorf;16.1745;47.1441;23.5;8.0;23;8
10402;Burgauberg-Neudauberg;16.1283;47.1475;22.7;8.4;22;11
10403;Eberau;16.4625;47.1054;21.7;6.5;26;9
10404;Gerersdorf-Sulz;16.2690;47.0759;21.1;6.9;26;9
10405;Güssing;16.3243;47.0588;20.8;7.1;22;10
10406;Güttenbach;16.2891;47.1597;22.4;7.6;22;8
10407;Heiligenbrunn;16.4162;47.0271;20.9;6.4;26;9
10408;Kukmirn;16.2086;47.0755;21.9;7.5;23;9
10409;Neuberg im Burgenland;16.2597;47.1690;22.6;7.6;24;8
10410;Neustift bei Güssing;16.2628;47.0252;22.9;7.4;27;9
10411;Olbendorf;16.2055;47.1877;23.3;8.6;28;10
10412;Ollersdorf im Burgenland;16.1645;47.1863;23.1;8.5;24;12
10413;Sankt Michael im Burgenland;16.2697;47.1278;22.2;7.1;28;8
10414;Stegersbach;16.1683;47.1593;23.1;8.1;24;9
10415;Stinatz;16.1332;47.2044;23.4;9.1;22;12
10416;Strem;16.4142;47.0448;20.8;6.7;27;9
10417;Tobaj;16.3063;47.0899;21.7;7.2;27;8
10418;Hackerberg;16.1068;47.1956;23.5;8.7;23;11
10419;Wörterberg;16.0982;47.2229;24.6;9.3;25;11
10420;Großmürbisch;16.3613;47.0162;21.0;6.8;23;8
10421;Inzenhof;16.3168;47.0125;22.2;6.8;23;7
10422;Kleinmürbisch;16.3245;47.0335;21.6;6.8;20;9
10423;Tschanigraben;16.3054;47.0066;22.3;6.9;26;7
10424;Heugraben;16.1910;47.1192;23.4;8.2;25;8
10425;Rohr im Burgenland;16.1642;47.1193;22.6;8.0;24;8
10426;Bildein;16.4663;47.1344;22.4;6.8;29;9
10427;Rauchwart;16.2313;47.1346;22.1;7.4;24;7
10428;Moschendorf;16.4784;47.0568;20.9;6.2;27;9
10501;Deutsch Kaltenbrunn;16.1062;47.0907;23.0;8.4;27;9
10502;Eltendorf;16.1990;47.0074;22.3;7.5;24;10
10503;Heiligenkreuz im Lafnitztal;16.2601;46.9882;23.4;7.4;25;8
10504;Jennersdorf;16.1413;46.9372;22.3;7.9;20;8
10505;Minihof-Liebau;16.0706;46.8813;23.4;7.9;27;9
10506;Mogersdorf;16.2335;46.9482;22.7;6.9;21;7
10507;Neuhaus am Klausenbach;16.0293;46.8691;23.9;7.7;28;8
10508;Rudersdorf;16.1225;47.0492;21.8;7.8;23;9
10509;Sankt Martin an der Raab;16.1346;46.9206;22.1;7.6;22;9
10510;Weichselbaum;16.1864;46.9417;22.4;7.5;20;9
10511;Königsdorf;16.1708;47.0047;22.0;7.4;23;9
10512;Mühlgraben;16.0380;46.8866;23.4;7.7;26;8
10601;Draßburg;16.4876;47.7459;18.6;5.2;14;5
10602;Forchtenstein;16.3500;47.7132;19.9;6.6;23;8
10603;Hirm;16.4546;47.7870;18.3;5.3;14;6
10604;Loipersbach im Burgenland;16.4773;47.6971;19.3;5.6;16;4
10605;Marz;16.4176;47.7190;19.2;5.9;19;6
10606;Mattersburg;16.3980;47.7368;18.9;5.6;21;8
10607;Neudörfl;16.2979;47.7979;18.6;5.6;19;8
10608;Pöttelsdorf;16.4366;47.7527;18.9;5.8;20;8
10609;Pöttsching;16.3700;47.8064;17.8;5.5;15;8
10610;Rohrbach bei Mattersburg;16.4254;47.7097;19.5;6.0;18;4
10611;Bad Sauerbrunn;16.3258;47.7752;18.8;6.1;20;8
10612;Schattendorf;16.5106;47.7118;19.1;5.4;17;4
10613;Sieggraben;16.3798;47.6488;20.6;6.7;19;5
10614;Sigleß;16.3948;47.7750;18.0;5.6;18;8
10615;Wiesen;16.3381;47.7382;18.9;6.4;24;8
10616;Antau;16.4767;47.7727;18.6;5.1;15;6
10617;Baumgarten;16.5047;47.7366;18.4;5.2;14;4
10618;Zemendorf-Stöttera;16.4532;47.7620;19.0;5.4;17;5
10619;Krensdorf;16.4155;47.7845;17.8;5.4;17;8
10701;Andau;17.0330;47.7758;16.9;3.9;14;3
10702;Apetlon;16.8332;47.7433;16.5;4.7;16;4
10703;Bruckneudorf;16.7792;48.0198;16.7;4.1;17;3
10704;Deutsch Jahrndorf;17.1070;48.0117;16.1;4.0;16;4
10705;Frauenkirchen;16.9241;47.8377;16.3;4.2;13;4
10706;Gattendorf;16.9842;48.0155;15.9;3.9;15;3
10707;Gols;16.9084;47.8984;17.3;4.1;15;4
10708;Halbturn;16.9743;47.8715;16.7;4.3;12;2
10709;Illmitz;16.8008;47.7611;16.2;4.7;13;4
10710;Jois;16.7948;47.9621;14.9;3.7;15;3
10711;Kittsee;17.0639;48.0925;16.8;4.1;13;3
10712;Mönchhof;16.9412;47.8827;16.9;4.2;13;3
10713;Neusiedl am See;16.8425;47.9492;16.5;4.1;16;4
10714;Nickelsdorf;17.0662;47.9403;16.3;3.7;16;2
10715;Pama;17.0346;48.0475;16.5;4.1;15;3
10716;Pamhagen;16.9059;47.7023;16.9;3.9;16;2
