GKZ;Gemeinde;Lon [°];Lat [°];24H Perioden > 40 mm Jahresmittel;24H Perioden > 40 mm 2019;24H Perioden > 40 mm Mittelwert Frühling;24H Perioden > 40 mm Frühling 2020;24H Perioden > 40 mm Mittelwert Sommer;24H Perioden > 40 mm Sommer 2019;24H Perioden > 40 mm Mittelwert Herbst;24H Perioden > 40 mm Herbst 2019;24H Perioden > 40 mm Mittelwert Winter;24H Perioden > 40 mm Winter 2019/2020;24H Perioden > 60 mm Jahresmittel;24H Perioden > 60 mm 2019;24H Perioden > 60 mm Mittelwert Frühling;24H Perioden > 60 mm Frühling 2020;24H Perioden > 60 mm Mittelwert Sommer;24H Perioden > 60 mm Sommer 2019;24H Perioden > 60 mm Mittelwert Herbst;24H Perioden > 60 mm Herbst 2019;24H Perioden > 60 mm Mittelwert Winter;24H Perioden > 60 mm Winter 2019/2020;24H Perioden > 80 mm Jahresmittel;24H Perioden > 80 mm 2019;24H Perioden > 80 mm Mittelwert Frühling;24H Perioden > 80 mm Frühling 2020;24H Perioden > 80 mm Mittelwert Sommer;24H Perioden > 80 mm Sommer 2019;24H Perioden > 80 mm Mittelwert Herbst;24H Perioden > 80 mm Herbst 2019;24H Perioden > 80 mm Mittelwert Winter;24H Perioden > 80 mm Winter 2019/2020;
10101;Eisenstadt;16.5249;47.8455;2.6;0.0;0.4;0;1.3;0;0.8;0;0.2;0;0.6;0.0;0.0;0;0.5;0;0.2;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10201;Rust;16.6749;47.8003;2.1;1.0;0.4;0;0.9;0;0.7;0;0.0;0;0.6;0.0;0.1;0;0.4;0;0.2;0;0.0;0;0.2;0.0;0.0;0;0.2;0;0.0;0;0.0;0;
10301;Breitenbrunn am Neusiedler See;16.7325;47.9464;1.2;0.0;0.1;0;0.5;0;0.5;0;0.1;0;0.2;0.0;0.0;0;0.1;0;0.2;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10302;Donnerskirchen;16.6446;47.8961;1.6;0.0;0.2;0;0.5;0;0.8;0;0.1;0;0.3;0.0;0.0;0;0.1;0;0.2;0;0.1;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10303;Großhöflein;16.4812;47.8353;2.5;0.0;0.4;0;1.3;0;0.8;0;0.1;0;0.5;0.0;0.0;0;0.3;0;0.2;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10304;Hornstein;16.4430;47.8791;2.4;0.0;0.6;1;1.1;0;0.7;0;0.1;0;0.5;0.0;0.0;0;0.2;0;0.2;0;0.0;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10305;Klingenbach;16.5406;47.7548;2.2;1.0;0.4;0;1.1;0;0.6;0;0.0;0;0.3;0.0;0.0;0;0.2;0;0.2;0;0.0;0;0.1;0.0;0.0;0;0.0;0;0.1;0;0.0;0;
10306;Leithaprodersdorf;16.4794;47.9353;2.6;0.0;0.6;0;1.4;0;0.6;0;0.0;0;0.5;0.0;0.1;0;0.2;0;0.3;0;0.0;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10307;Mörbisch am See;16.6659;47.7533;2.1;1.0;0.4;0;1.1;0;0.6;0;0.0;0;0.7;0.0;0.1;0;0.4;0;0.2;0;0.0;0;0.2;0.0;0.0;0;0.2;0;0.0;0;0.0;0;
10308;Müllendorf;16.4571;47.8397;2.7;1.0;0.6;0;1.2;0;0.7;0;0.1;0;0.5;0.0;0.0;0;0.4;0;0.2;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10309;Neufeld an der Leitha;16.3764;47.8678;2.2;1.0;0.4;0;1.0;0;0.7;0;0.0;0;0.5;0.0;0.0;0;0.2;0;0.2;0;0.0;0;0.1;0.0;0.0;0;0.0;0;0.1;0;0.0;0;
10310;Oggau am Neusiedler See;16.6671;47.8333;1.6;1.0;0.4;0;0.6;0;0.6;0;0.0;0;0.5;0.0;0.1;0;0.2;0;0.2;0;0.0;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10311;Oslip;16.6231;47.8312;1.8;1.0;0.5;0;0.5;0;0.7;0;0.1;0;0.5;0.0;0.1;0;0.3;0;0.2;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10319;Wulkaprodersdorf;16.4985;47.7949;2.3;1.0;0.3;0;1.2;0;0.8;0;0.0;0;0.3;0.0;0.0;0;0.2;0;0.1;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10418;Hackerberg;16.1068;47.1956;1.5;0.0;0.1;0;1.0;0;0.4;0;0.0;0;0.2;0.0;0.0;0;0.2;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10419;Wörterberg;16.0982;47.2229;1.8;2.0;0.3;0;1.2;2;0.2;0;0.0;0;0.3;0.0;0.0;0;0.3;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10420;Großmürbisch;16.3613;47.0162;1.3;0.0;0.1;0;0.8;0;0.4;0;0.0;0;0.2;0.0;0.0;0;0.2;0;0.1;0;0.0;0;0.2;0.0;0.0;0;0.2;0;0.0;0;0.0;0;
10421;Inzenhof;16.3168;47.0125;1.2;0.0;0.2;0;0.7;0;0.3;0;0.0;0;0.4;0.0;0.0;0;0.3;0;0.1;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10422;Kleinmürbisch;16.3245;47.0335;2.1;0.0;0.2;0;1.1;0;0.8;0;0.0;0;0.4;0.0;0.0;0;0.3;0;0.1;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10822;Stoob;16.4777;47.5274;1.9;3.0;0.3;0;1.1;2;0.5;1;0.0;0;0.2;2.0;0.0;0;0.1;1;0.2;1;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10823;Weppersdorf;16.4273;47.5794;2.2;3.0;0.3;0;1.4;1;0.5;1;0.0;0;0.7;1.0;0.1;0;0.5;1;0.1;0;0.0;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10824;Lackendorf;16.5027;47.5888;1.7;3.0;0.3;0;1.1;1;0.3;1;0.0;0;0.5;0.0;0.1;0;0.3;0;0.1;0;0.0;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10825;Unterfrauenhaid;16.4992;47.5726;1.8;3.0;0.2;0;1.2;1;0.4;1;0.0;0;0.5;2.0;0.0;0;0.3;1;0.2;1;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10826;Unterrabnitz-Schwendgraben;16.3764;47.4546;2.3;2.0;0.5;0;1.2;2;0.6;0;0.0;0;0.2;0.0;0.1;0;0.0;0;0.2;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10827;Weingraben;16.3631;47.5145;2.4;4.0;0.4;0;1.2;3;0.8;1;0.0;0;0.6;1.0;0.1;0;0.3;1;0.2;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10828;Oberloisdorf;16.5042;47.4458;1.9;2.0;0.4;0;0.8;1;0.6;1;0.0;0;0.5;1.0;0.0;0;0.2;1;0.2;0;0.0;0;0.1;0.0;0.0;0;0.0;0;0.1;0;0.0;0;
10901;Bad Tatzmannsdorf;16.2290;47.3338;1.7;2.0;0.3;0;0.9;2;0.5;0;0.0;0;0.1;0.0;0.1;0;0.0;0;0.0;0;0.0;0;0.1;0.0;0.1;0;0.0;0;0.0;0;0.0;0;
10902;Bernstein;16.2581;47.4057;3.4;6.0;0.7;0;1.9;5;0.7;1;0.0;0;0.7;2.0;0.2;0;0.3;1;0.2;1;0.0;0;0.3;2.0;0.1;0;0.1;1;0.1;1;0.0;0;
10903;Deutsch Schützen-Eisenberg;16.4473;47.1666;1.4;1.0;0.1;0;0.8;1;0.5;0;0.0;0;0.2;0.0;0.1;0;0.1;0;0.1;0;0.0;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10904;Grafenschachen;16.0660;47.3634;2.0;3.0;0.3;0;1.1;3;0.6;0;0.0;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10905;Großpetersdorf;16.3219;47.2385;2.0;2.0;0.3;0;0.9;1;0.8;1;0.0;0;0.3;0.0;0.0;0;0.2;0;0.1;0;0.0;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10906;Hannersdorf;16.3811;47.2296;2.1;3.0;0.2;0;1.2;2;0.7;1;0.0;0;0.2;1.0;0.0;0;0.1;0;0.2;1;0.0;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10907;Kemeten;16.1516;47.2493;1.5;1.0;0.2;0;1.0;1;0.3;0;0.0;0;0.2;0.0;0.0;0;0.2;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10908;Kohfidisch;16.3580;47.1753;1.8;1.0;0.2;0;0.8;0;0.7;1;0.0;0;0.3;0.0;0.1;0;0.1;0;0.2;0;0.0;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10909;Litzelsdorf;16.1616;47.2096;1.6;0.0;0.2;0;1.0;0;0.4;0;0.0;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10910;Loipersdorf-Kitzladen;16.0778;47.3359;1.9;1.0;0.2;0;1.1;1;0.6;0;0.0;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10911;Mariasdorf;16.2314;47.3665;1.5;1.0;0.3;0;0.6;0;0.5;1;0.0;0;0.1;0.0;0.1;0;0.0;0;0.0;0;0.0;0;0.1;0.0;0.1;0;0.0;0;0.0;0;0.0;0;
10912;Markt Allhau;16.0806;47.2919;1.8;1.0;0.1;0;1.3;1;0.3;0;0.0;0;0.3;0.0;0.0;0;0.2;0;0.1;0;0.0;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
