GKZ;Gemeinde;Lon [°];Lat [°];Anzahl Tage 60km/h Jahr Mittel;Anzahl Tage 60km/h Jahr 2019;Anzahl Tage 60 km/h Frühling Mittel;Anzahl Tage 60 km/h Frühling 2020;Anzahl Tage 60 km/h Sommer Mittel;Anzahl Tage 60 km/h Sommer 2019;Anzahl Tage 60 km/h Herbst Mittel;Anzahl Tage 60 km/h Herbst 2019;Anzahl Tage 60 km/h Winter Mittel;Anzahl Tage 60 km/h Winter 2019/2020;Anzahl Tage 80 km/h Jahr Mittel;Anzahl Tage 80 km/h Jahr 2019;Anzahl Tage 80 km/h Frühling Mittel;Anzahl Tage 80 km/h Frühling 2020;Anzahl Tage 80 km/h Sommer Mittel;Anzahl Tage 80 km/h Sommer 2019;Anzahl Tage 80 km/h Herbst Mittel;Anzahl Tage 80 km/h Herbst 2019;Anzahl Tage 80 km/h Winter Mittel;Anzahl Tage 80 km/h Winter 2019/2020;Anzahl Tage 100 km/h Jahr Mittel;Anzahl Tage 100 km/h Jahr 2019;Anzahl Tage 100 km/h Frühling Mittel;Anzahl Tage 100km/h Frühling 2020;Anzahl Tage 100 km/h Sommer Mittel;Anzahl Tage 100 km/h Sommer 2019;Anzahl Tage 100 km/h Herbst Mittel;Anzahl Tage 100 km/h Herbst 2019;Anzahl Tage 100 km/h Winter Mittel;Anzahl Tage 100 km/h Winter 2019/2020
10101;Eisenstadt;16.5249;47.8455;47.3;50.0;13.7;11;10.6;7;8.2;4;14.5;21;5.2;2.0;2.0;0;0.5;0;0.5;0;1.9;4;0.2;0.0;0.0;0;0.2;0;0.0;0;0.2;1;
10201;Rust;16.6749;47.8003;27.5;26.0;8.6;5;4.5;2;4.0;2;10.1;17;1.7;0.0;0.4;0;0.3;0;0.2;0;0.7;2;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10301;Breitenbrunn am Neusiedler See;16.7325;47.9464;19.0;24.0;6.1;7;2.6;1;3.4;2;7.4;17;1.7;4.0;0.4;0;0.5;0;0.2;0;0.5;3;0.1;0.0;0.0;0;0.1;0;0.0;0;0.1;1;
10302;Donnerskirchen;16.6446;47.8961;20.8;24.0;6.6;7;3.2;1;3.4;2;7.6;14;1.3;0.0;0.4;0;0.4;0;0.2;0;0.5;3;0.1;0.0;0.0;0;0.1;0;0.0;0;0.1;1;
10303;Großhöflein;16.4812;47.8353;44.3;48.0;13.1;13;8.7;5;7.8;4;14.8;22;5.3;4.0;2.2;0;0.4;0;0.4;0;2.2;4;0.3;0.0;0.1;0;0.1;0;0.0;0;0.2;1;
10304;Hornstein;16.4430;47.8791;47.6;55.0;14.0;15;8.4;3;8.5;4;16.9;24;6.9;6.0;2.2;0;0.6;0;0.9;0;3.2;5;0.5;0.0;0.1;0;0.2;0;0.1;0;0.3;2;
10305;Klingenbach;16.5406;47.7548;36.3;42.0;11.6;8;5.5;4;5.6;3;13.0;19;3.2;1.0;1.6;0;0.2;0;0.4;0;1.0;3;0.2;0.0;0.0;0;0.1;0;0.0;0;0.1;0;
10306;Leithaprodersdorf;16.4794;47.9353;24.1;30.0;6.9;10;2.8;0;4.0;2;10.7;20;2.6;6.0;0.9;0;0.2;0;0.5;0;1.0;4;0.4;0.0;0.1;0;0.1;0;0.2;0;0.1;1;
10307;Mörbisch am See;16.6659;47.7533;22.8;17.0;7.9;3;3.2;2;2.8;0;8.2;13;1.5;0.0;0.7;1;0.3;0;0.1;0;0.4;0;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10308;Müllendorf;16.4571;47.8397;44.8;48.0;13.2;14;8.4;4;7.8;4;15.5;22;6.3;5.0;2.3;0;0.5;0;0.7;0;2.6;4;0.3;0.0;0.1;0;0.1;0;0.0;0;0.2;1;
10309;Neufeld an der Leitha;16.3764;47.8678;40.1;38.0;12.2;11;6.2;1;6.6;3;15.2;21;6.5;5.0;2.0;0;0.5;0;0.9;0;3.0;5;0.4;0.0;0.1;0;0.1;0;0.1;0;0.3;2;
10310;Oggau am Neusiedler See;16.6671;47.8333;28.5;35.0;8.9;7;4.9;3;4.5;4;10.5;22;1.8;0.0;0.6;0;0.3;0;0.2;0;0.8;2;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10311;Oslip;16.6231;47.8312;31.0;32.0;9.9;7;5.2;4;5.2;2;10.5;19;2.4;0.0;1.0;0;0.3;0;0.2;0;0.8;2;0.2;0.0;0.0;0;0.1;0;0.0;0;0.1;0;
10319;Wulkaprodersdorf;16.4985;47.7949;34.8;37.0;10.9;9;5.5;4;5.5;3;12.6;20;3.0;1.0;1.4;0;0.2;0;0.2;0;1.0;3;0.2;0.0;0.0;0;0.1;0;0.0;0;0.1;0;
10418;Hackerberg;16.1068;47.1956;7.0;8.0;2.6;1;1.8;1;1.0;0;1.6;4;0.5;0.0;0.2;0;0.2;0;0.1;0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10419;Wörterberg;16.0982;47.2229;9.2;10.0;3.4;2;2.2;1;1.5;0;2.2;5;0.7;1.0;0.3;0;0.2;0;0.1;0;0.2;0;0.0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;
10420;Großmürbisch;16.3613;47.0162;8.5;18.0;3.1;3;1.5;1;1.6;1;2.5;7;0.4;0.0;0.1;0;0.2;0;0.1;0;0.1;1;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10421;Inzenhof;16.3168;47.0125;6.4;15.0;2.4;2;1.2;2;1.1;1;1.8;6;0.2;0.0;0.1;0;0.1;0;0.0;0;0.1;1;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10422;Kleinmürbisch;16.3245;47.0335;7.8;17.0;3.1;3;1.7;2;1.2;1;2.1;7;0.4;0.0;0.1;0;0.2;0;0.1;0;0.1;1;0.1;0.0;0.0;0;0.1;0;0.0;0;0.0;0;
10822;Stoob;16.4777;47.5274;7.5;6.0;3.3;0;0.8;1;1.2;0;1.8;2;0.5;0.0;0.3;0;0.0;0;0.0;0;0.2;0;0.1;0.0;0.0;0;0.0;0;0.0;0;0.1;0;
10823;Weppersdorf;16.4273;47.5794;9.4;9.0;4.1;0;0.9;2;1.2;0;2.3;2;0.6;0.0;0.3;0;0.0;0;0.0;0;0.2;0;0.2;0.0;0.1;0;0.0;0;0.0;0;0.1;0;
10824;Lackendorf;16.5027;47.5888;7.7;9.0;3.1;0;0.9;2;1.0;0;2.0;2;0.6;0.0;0.3;0;0.1;0;0.0;0;0.2;0;0.1;0.0;0.0;0;0.0;0;0.0;0;0.1;0;
